ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
LU0094557526;MFS European Research;Euro;Europe Equity Large Cap;Article 8;8,67%;15,06%;https://api.fundinfo.com/document/e3890eb0dff8816b3803db4caec17c2d_158852/MR_ES_es_LU0094557526_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
BE0940002729;DPAM Equities Europe Sustainable;Euro;Europe Equity Large Cap;Article 8;10,86%;15,67%;https://api.fundinfo.com/document/2e04ea27edb2a8fc227ffaf600289571_356930/MR_ES_es_BE0940002729_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0224105477;BlackRock  Continental European Flexible;Euro;Europe Equity Large Cap;Article 8;15,70%;20,15%;https://api.fundinfo.com/document/6545bc75adf5ef9dfa3f6b38b05dbc81_288738/MR_ES_es_LU0224105477_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240
LU0260085492;Jupiter European Growth;Euro;Europe Equity Large Cap;Article 8;13,66%;17,64%;https://api.fundinfo.com/document/eb152e4c20ef85e838506f51f2fcf57d_144542/MR_ES_es_LU0260085492_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B4ZJ4188  ;Comgest Europe Growth;Euro;Europe Equity Large Cap;Article 8;7,61%;16,84%;https://api.fundinfo.com/document/e5e301e1733e885e9ff291ccb14731d0_367858/MR_ES_en_IE00B4ZJ4188_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1670707527;M&G European Strategic Value;Euro;Europe Equity Large Cap;Article 8;9,94%;19,10%;https://api.fundinfo.com/document/581590a0b2868f425f08335ea02c41a5_148220/MR_ES_es_LU1670707527_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0028118809;Invesco Pan European Equity;Euro;Europe Equity Large Cap;Article 8;6,19%;20,41%;https://api.fundinfo.com/document/c9876bc44f40ddcb70d558a4063a6ff1_1245016/MR_ES_es_LU0028118809_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0210531983;JPMorgan Europe Strategic Value;Euro;Europe Equity Large Cap;Article 8;14,41%;21,13%;https://api.fundinfo.com/document/ee2be8a826a38d40c24cc569dd381847_425912/MR_ES_es_LU0210531983_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0093502762;BlackRock Euro-Markets Fund;Euro;Europe Equity Large Cap;Article 8;11,95%;19,53%;https://api.fundinfo.com/document/8e13b6da06c45a307ef30f7aa4d201fb_276995/MR_ES_es_LU0093502762_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0011889846;Janus Henderson Euroland;Euro;Europe Equity Large Cap;Article 8;14,79%;17,53%;https://api.fundinfo.com/document/6d074ab4dc2e1f7929fded23820cfd73_540842/MR_ES_es_LU0011889846_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
