ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
LU0224105477;BlackRock  Continental European Flexible;Euro;Europe Equity Large Cap;Article 8;15,70%;20,15%;https://api.fundinfo.com/document/6545bc75adf5ef9dfa3f6b38b05dbc81_288738/MR_ES_es_LU0224105477_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240
LU1670707527;M&G European Strategic Value;Euro;Europe Equity Large Cap;Article 8;9,94%;19,10%;https://api.fundinfo.com/document/581590a0b2868f425f08335ea02c41a5_148220/MR_ES_es_LU1670707527_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2240056015;Lonvia Avenir Mid Cap Europe;Euro;Europe Equity Mid/Small Cap;Article 8;8,12%;-;https://api.fundinfo.com/document/776d4a336d80094890f9e1354700ca73_438277/MR_ES_es_LU2240056015_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0133096635;T Rowe Price US Smaller Companies;US Dollar;US Equity Small Cap;Article 8;16,86%;15,63%;https://api.fundinfo.com/document/36a2b94a97692a354aab69e84eeb875b_161174/MR_ES_es_LU0133096635_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0203975437;Robeco BP Global Premium Equities;Euro;Global Equity Large Cap;Article 8;3,34%;16,48%;https://api.fundinfo.com/document/0a4072a2156a665311fd018bbb7952c0_264600/MR_ES_es_LU0203975437_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0112467450 ;Nordea Global Stable Equity;Euro;Global Equity Large Cap;Article 8;19,20%;22,59%;https://api.fundinfo.com/document/8f0df635938a869b7b4d352fb0376879_188034/MR_ES_es_LU1493953001_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B2NXKW18;Seilern Stryx World Growth;Euro;Global Equity Large Cap;Article 8;8,83%;16,32%;https://api.fundinfo.com/document/b4646f6a5af5045de6cdbba64a99085e_416381/MR_ES_es_IE00B2NXKW18_YES_2022-11-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0309191657;BL - Equities Dividend;Euro;Global Equity Large Cap;Article 8;-0,21%;14,28%;https://api.fundinfo.com/document/f710431f39221c6a3dfe628c500caba1_300507/MR_ES_en_LU0309191657_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0187077309;Robeco Chinese Equities;Euro;Greater China Equity;Article 8;-7,61%;28,67%;https://api.fundinfo.com/document/d7aab5700e52ff99db318deb7451f09b_251867/MR_ES_es_LU0187077309_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0187079347;Robeco Global Consumer Trends;Euro;Global Equity Large Cap;Article 8;3,16%;16,90%;https://api.fundinfo.com/document/f0917f2b6f494c4c0d19c5b4b16ce0c2_277962/MR_ES_es_LU0187079347_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0348926287;Nordea Global Climate and Environment;Euro;Global Equity Mid/Small Cap;Article 9;9,14%;21,71%;https://api.fundinfo.com/document/cdcb80c1ad99d79b874730b3d605a814_667928/MR_ES_es_LU0348926287_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0335216932;Morgan Stanley Global Brands;Euro;Global Equity Large Cap;Article 8;14,34%;26,83%;https://api.fundinfo.com/document/98e32497b4966e0503e17610b5f178ad_177723/MR_ES_es_LU0335216932_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0176954008;Renta 4 Renta Fija Corto Plazo;Euro;Europe Fixed Income;Article 8;1,22%;2,15%;https://api.fundinfo.com/document/8cfb43542ea15eee59e7dcbfe9289654_406045/MR_ES_es_ES0176954008_YES_2023-03-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0010149120;Carmignac Securite;Euro;Europe Fixed Income;Article 8;2,93%;1,30%;https://api.fundinfo.com/document/7431f96f8fb0bf86acd2b310ded84fe4_205605/MR_ES_es_FR0010149120_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0093503810;BlackRock Euro Short Duration Bond;Euro;Europe Fixed Income;Not Stated;2,82%;7,33%;https://api.fundinfo.com/document/cbaa4599b2c3a8bc0c88db7232df55ed_282009/MR_ES_es_LU0093503810_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0153585996;Vontobel EUR Corporate Bond Mid Yield;Euro;Europe Fixed Income;Article 8;2,28%;5,50%;https://api.fundinfo.com/document/969c81e575d8a648edd728a94523853e_107728/MR_ES_es_LU0153585996_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0243957825;Invesco Euro Corporate Bond;Euro;Europe Fixed Income;Article 8;1,38%;7,07%;https://api.fundinfo.com/document/eeda831f68531349567ecbe1f0b538ed_1892793/MR_ES_es_LU0243957825_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1694212348;Nordea Low Duration European Covered Bond;Euro;Europe Fixed Income;Article 8;2,04%;8,68%;https://api.fundinfo.com/document/075f695ccbb4a08af0d426581bd302bb_583578/MR_ES_es_LU1694212348_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FI0008800511;Evli Short Corporate Bond;Euro;Europe Fixed Income;Article 8;0,97%;6,18%;https://api.fundinfo.com/document/681858614012c321665d69b65fee1c33_466052/MR_ES_en_FI0008800511_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
